date,total_value,cash,positions_value,benchmark_close,daily_return,cum_return,drawdown,trades_count,commission
2021-01-04,98478.52652495776,1566.5265249577642,96912.0,5267.7181,-0.0152147347504223,-0.0152147347504223,-0.0152147347504223,2,24.474318090333934
2021-01-05,96086.35558997636,96086.35558997636,0.0,5368.5049,-0.0242912949593648,-0.0391364441002363,-0.0242912949593648,2,118.17447502044678
2021-01-06,103382.80787052352,1390.807870523509,101992.0,5417.6677,0.0759364036209557,0.0338280787052351,0.0,1,23.54492709445953
2021-01-07,98747.08430305192,98747.08430305192,0.0,5513.6568,-0.0448403720401688,-0.0125291569694806,-0.0448403720401688,1,121.72077511318209
2021-01-08,97492.6083120148,322.608312014796,97170.0,5495.4306,-0.0127039294364093,-0.025073916879852,-0.0569746525542775,1,24.47208097243309
2021-01-11,92252.66703429616,92252.66703429616,0.0,5441.1583,-0.0537470621459706,-0.0774733296570384,-0.1076594945086684,1,114.93658564100268
2021-01-12,92252.66703429616,92252.66703429616,0.0,5596.3525,0.0,-0.0774733296570384,-0.1076594945086684,0,0.0
2021-01-13,92252.66703429616,92252.66703429616,0.0,5577.9711,0.0,-0.0774733296570384,-0.1076594945086684,0,0.0
2021-01-14,92252.66703429616,92252.66703429616,0.0,5470.4563,0.0,-0.0774733296570384,-0.1076594945086684,0,0.0
2021-01-15,92252.66703429616,92252.66703429616,0.0,5458.0812,0.0,-0.0774733296570384,-0.1076594945086684,0,0.0
2021-01-18,92252.66703429616,92252.66703429616,0.0,5518.5205,0.0,-0.0774733296570384,-0.1076594945086684,0,0.0
2021-01-19,89559.95520494122,915.9552049412014,88644.00000000001,5437.5234,-0.0291884442577025,-0.1044004479505879,-0.1337055256120922,1,22.70979230661392
2021-01-20,89114.9552049412,915.9552049412014,88199.0,5476.4336,-0.0049687385280812,-0.1088504479505879,-0.1380099163436472,0,0.0
2021-01-21,89292.9552049412,915.9552049412014,88377.0,5564.9693,0.0019974200692873,-0.1070704479505879,-0.1362881600510253,0,0.0
2021-01-22,85271.48671973652,85271.48671973652,0.0,5569.776,-0.0450367946270204,-0.1472851328026347,-0.1751869728037333,1,105.46644815633776
2021-01-25,85271.48671973652,85271.48671973652,0.0,5625.9232,0.0,-0.1472851328026347,-0.1751869728037333,0,0.0
2021-01-26,84701.36863982772,338.3686398277205,84363.0,5512.9678,-0.0066859169675629,-0.1529863136017227,-0.1807016042173317,1,21.117614515743256
2021-01-27,80879.67260126947,80879.67260126947,0.0,5528.0034,-0.0451196491854706,-0.1912032739873053,-0.2176680604132645,1,100.69766743397712
2021-01-28,88119.5636323155,9.563632315504949,88110.0,5377.1427,0.0895143464135683,-0.1188043636768449,-0.1476381281626987,1,20.107395391345023
2021-01-29,96864.5636323155,9.563632315504949,96855.0,5351.9646,0.099240164607363,-0.0313543636768449,-0.0630495956965248,0,0.0
