time,security,side,amount,price,turnover,commission,order_id,trade_pnl
2021-01-04 09:26:00,002936.SZ,buy,11300,4.409999847412109,49832.99827575684,12.393466671180724,20210104-000001-e88049,0.0
2021-01-04 09:26:00,600095.SS,buy,3300,14.720000267028809,48576.00088119507,12.080851419153213,20210104-000002-8dded5,0.0
2021-01-05 14:50:00,002936.SZ,sell,11300,4.050000190734863,45765.00215530396,57.14675819132805,20210105-000003-5fa7bf,-4067.996120452881
2021-01-05 14:50:00,600095.SS,sell,3300,14.8100004196167,48873.00138473511,61.02771682911873,20210105-000004-e0ea47,297.00050354003906
2021-01-06 09:26:00,600827.SS,buy,6100,15.520000457763672,94672.0027923584,23.54492709445953,20210106-000005-8fc606,0.0
2021-01-07 11:25:00,600827.SS,sell,6100,15.979999542236328,97477.9972076416,121.72077511318209,20210107-000006-09e87c,2803.775453539549
2021-01-08 09:26:00,601898.SS,buy,20500,4.800000190734863,98400.0039100647,24.47208097243309,20210108-000007-cbc2c5,0.0
2021-01-11 14:50:00,601898.SS,sell,20500,4.489999771118164,92044.99530792236,114.93658564100268,20210111-000008-da4112,-6355.008602142334
2021-01-19 09:26:00,000930.SZ,buy,8900,10.260000228881836,91314.00203704834,22.70979230661392,20210119-000009-c9a8e9,0.0
2021-01-22 14:50:00,000930.SZ,sell,8900,9.489999771118164,84460.99796295166,105.46644815633776,20210122-000010-c01512,-6853.00407409668
2021-01-26 09:26:00,000987.SZ,buy,6100,13.920000076293944,84912.00046539307,21.117614515743256,20210126-000011-4adc1f,0.0
2021-01-27 14:50:00,000987.SZ,sell,6100,13.220000267028809,80642.00162887573,100.69766743397712,20210127-000012-2de4a9,-4269.998836517334
2021-01-28 09:26:00,601216.SS,buy,16500,4.900000095367432,80850.00157356262,20.107395391345023,20210128-000013-dcb313,0.0
2021-02-01 11:25:00,601216.SS,sell,16500,6.099999904632568,100649.99842643738,125.68165303509237,20210201-000014-8d6653,19799.99685287476
2021-02-02 09:26:00,000975.SZ,buy,11300,8.880000114440918,100344.00129318236,24.955553121614457,20210202-000015-cf879b,0.0
2021-02-04 14:50:00,000975.SZ,sell,11300,8.079999923706055,91303.99913787842,114.0113037234688,20210204-000016-601d1f,-9040.002155303957
2021-02-18 09:26:00,600066.SS,buy,5800,15.619999885559082,90595.99933624268,22.531225034923555,20210218-000017-8c1cdf,0.0
2021-02-22 11:25:00,600066.SS,sell,5800,16.81999969482422,97555.99822998048,121.81817498977662,20210222-000018-10a63c,6959.998893737793
2021-02-25 09:26:00,000818.SZ,buy,4300,22.600000381469727,97180.00164031982,24.16866640794754,20210225-000019-fc168c,0.0
2021-02-26 14:50:00,000818.SZ,sell,4300,21.200000762939453,91160.00328063963,113.83149609653474,20210226-000020-fca2d9,-6019.998359680176
